Kelurahan,Jumlah sasaran ibu hamil,Jumlah sasaran ibu bersalin/nifas,Jumlah sasaran kelahiran hidup,Jumlah sasaran bayi,Jumlah sasaran balita
Kandangan,512,489,465,495,1843
Romokalisari,45,43,42,44,226
Tambak Oso Wilangon,57,54,52,55,317
Pakal,158,151,144,153,786
Babat Jerawat,324,309,294,313,1659
Sumber Rejo,178,170,162,172,945
Benowo,176,168,160,170,890
Jeruk,157,150,143,152,738
Lakarsantri,149,142,136,144,674
Lidah Kulon,230,219,208,222,1146
Lidah Wetan,180,172,164,174,935
Bangkingan,139,132,126,134,653
Sumurwelut,89,85,80,86,464
Lontar,411,392,373,397,2191
Sambikerep,298,284,271,288,1497
Made,169,161,154,163,741
Beringin,103,99,94,100,441
Tanjungsari,160,153,146,155,730
Sonokwijenan,110,105,99,106,472
Putat Gede,95,91,86,92,494
Simomulyo,343,328,312,332,1577
Sukomanunggal,171,163,155,165,847
Simomulyo Baru,661,631,600,639,3151
Manukan Kulon,527,504,479,510,2331
Manukan Wetan,160,153,146,155,760
Banjar Sugihan,172,164,157,166,781
Karang Poh,244,233,222,236,1171
Tandes,132,126,121,128,649
Balongsari,175,167,159,169,793
Asem Rowo,506,483,460,489,2510
Genting Kalianak,124,118,112,120,616
Tambak Sarioso,120,115,110,116,533
Sememi,744,710,676,719,2974
Peneleh,226,216,206,219,911
Kapasari,274,262,249,265,1172
Genteng,121,115,110,117,554
Ketabang,104,100,95,101,404
Embong Kaliasin,199,190,180,192,794
Kedungdoro,316,302,288,306,1479
Tegalsari,272,260,247,263,1224
Dr. Soetomo,208,198,189,201,978
Keputran,181,173,165,175,820
Wonorejo,382,364,347,369,1650
Tembok Dukuh,315,301,287,305,1662
Jepara,381,363,346,368,1735
Alun-Alun Contong,34,33,31,33,310
Gundih,419,400,381,405,1905
Bubutan,187,179,171,181,904
Tambakrejo,214,204,195,207,1208
Simokerto,240,229,218,232,1246
Kapasan,143,136,130,138,936
Simolawang,364,348,331,352,1799
Sidodadi,251,240,229,243,1204
Perak Timur,225,215,205,218,1082
Nyamplungan,114,109,103,110,547
Krembangan Utara,265,253,241,256,1248
Bongkaran,130,124,119,126,647
Perak Utara,355,339,322,343,1678
Pegirian,426,407,387,412,2201
Ujung,466,445,424,451,2383
Sidotopo,444,424,404,429,2207
Ampel,355,339,322,343,1494
Wonokusumo,1134,1082,1031,1096,5556
Krembangan Selatan,174,166,158,168,867
Perak Barat,165,158,150,160,830
Kemayoran,272,260,247,263,1229
Dupak,371,354,338,359,1622
Morokrembangan,832,794,756,804,3478
Kenjeran,103,99,94,100,513
Bulak,329,314,299,318,1570
Kedung Cowek,116,111,105,112,566
Sukolilo Baru,149,142,135,144,715
Kali Kedinding,953,909,866,921,4684
Sidotopo Wetan,1062,1014,966,1027,4863
Bulak Banteng,684,653,621,661,2876
Tambak Wedi,309,295,281,299,1523
Rangkah,142,135,129,137,952
Tambaksari,141,134,128,136,1047
Ploso,264,252,240,255,1951
Pacarkeling,262,250,238,253,1377
Pacarkembang,504,481,458,487,2621
Gading,236,225,214,228,1865
Kapasmadya Baru,723,690,658,699,3022
Dukuh Setro,338,323,308,327,1672
Pucang Sewu,163,156,149,158,854
Kertajaya,323,308,293,312,1617
Baratajaya,167,159,152,161,845
Mojo,704,672,640,681,3129
Gubeng,195,187,177,189,927
Airlangga,270,258,245,261,1193
Kalirungkut,353,337,321,341,1546
Rungkut Kidul,233,222,212,225,920
Kedung Baruk,271,259,246,262,1163
Medokan Ayu,382,364,347,369,2040
Penjaringansari,283,270,257,274,1458
Wonorejo,245,234,223,237,1329
Tenggilis Mejoyo,152,145,138,147,817
Panjang Jiwo,154,147,140,149,852
Kendangsari,211,201,192,204,1099
Kutisari,226,216,206,219,1311
Gunung Anyar,380,362,346,367,1697
Gunung Anyar Tambak,143,136,130,138,713
Rungkut Menanggal,251,240,228,243,1062
Rungkut Tengah,206,196,187,199,913
Menur Pumpungan,134,128,123,130,860
Semolowaru,179,171,162,173,1258
Nginden Jangkungan,157,150,143,152,1064
Klampis Ngasem,293,279,266,283,1185
Gebang Putih,121,115,110,117,547
Keputih,306,292,278,296,1449
Medokan Semampir,311,297,283,301,1407
Mulyorejo,269,257,244,260,1225
Kejawan Putih Tambak,127,121,116,123,569
Manyar Sabrangan,231,220,210,223,1027
Sutorejo,294,280,268,284,1230
Kalisari,276,264,251,267,1063
Kalijudan,260,248,236,251,992
Sawahan,240,229,218,232,1102
Petemon,474,452,431,458,2250
Putat Jaya,795,759,723,769,3327
Banyu Urip,626,597,569,605,2689
Kupang Krajan,314,300,286,304,1466
Pakis,544,519,495,526,2360
Jagir,286,273,260,277,1365
Darmo,185,177,168,179,860
Sawunggaling,353,337,320,341,1611
Wonokromo,624,595,567,603,2806
Ngagel Rejo,663,633,603,641,2685
Ngagel,192,184,175,186,859
Waru Gunung,152,145,138,147,728
Karang Pilang,126,120,115,122,559
Kedurus,439,419,398,424,2073
Kebraon,403,385,366,390,1934
Dukuh Kupang,271,259,246,262,1017
Dukuh pakis,276,264,251,267,1142
Gunungsari,229,218,208,221,955
Pradah Kali Kendal,264,252,240,255,1135
